who	cuisine	genre	purpose	hotorcold	taste	materials	when	color	is_standard	url
0	柏餅	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/02/42/4202/rc234x174_1604181038_ed4ecbf7c910e964bc84fe33cffa9426.jpg
2	黒糖マーラーカオ	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/20/42/4220/rc234x174_1605101408_f573a3da400ba3ea8ffbc4823b85f04b.jpg
1	ゴマ団子 （芝麻球）	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/21/42/4221/rc234x174_1605101748_468e6f3ae825f2f467e45728b47f6f71.jpg
0	ビスコッティ	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/62/42/4262/rc234x174_1605191703_6a183505378bc89f6105770827f3b81a.jpg
2	クレマカタラナ	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/79/42/4279/rc234x174_1606011659_2f433abe2a7d3a9abea41ce03f3bcdfb.jpg
0	さつまいもの羊羹	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/70/45/4570/rc234x174_1609290956_9af0976acab83a85920d7a176a406a7b.jpg
2	ウィークエンド・シトロン（レモンのパウンドケーキ）	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/08/47/4708/rc234x174_1610111655_74b3c6640a64fc8b0408776e28d6ac89.jpg
0	ケーク オ ショコラ	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/20/48/4820/rc234x174_1611291733_a09b6add720b1d304d9f4c8b92c5ccf1.jpg
2	ブルーベリーたっぷりのパウンドケーキ	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/87/06/687/rc234x174_1301240314_420f7bb899fc159da33486d3d4ac11b7.jpg
2	ムース・オ・ミルティーユ（ブルーベリーのムース）	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/07/47/4707/rc234x174_1610111657_fa7e71285bbf80629edd04ae60b5d68c.jpg
1	ルージュベリーのアントルメグラッセ（アイスケーキ）	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/25/48/4825/rc234x174_1612061140_6ac32ea418eea5f5a412eb04271fb5ea.jpg
0	ショコラスリーズ	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/22/48/4822/rc234x174_1611291132_a49192b937af8d7d0764c31f84d7e7df.jpg
1	クレーム アンジュ	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/21/48/4821/rc234x174_1611291814_e6084ef16179e2b845078d251b1f22d9.jpg
1	シュー ア ラ クレーム	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/78/43/4378/rc234x174_1609091149_11b8ef99da6cd24b07d6b7bec49244a4.jpg
1	イチゴのショートケーキ	western	dessert	cold	sweet,sour	NULL	snack,dinner	white,red,yellow	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/77/43/4377/rc234x174_1610131751_e8606eda8829a9b0dd63a3e3efe63565.jpg
1	さくらんぼのクラフティ	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/47/45/4547/rc234x174_1609081650_a25e5d3921c61dee563cce49ac59b70c.jpg
1	プロフィットロール	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/31/47/4731/rc234x174_1610261819_956a8d4d503f86bc6b904c6ab4d8cf91.jpg
2	ブリオッシュのfrenchトースト	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/52/33/3352/rc234x174_1507270625_eba1b8e4bfbf86906662b65f87a3685a.jpg
0	ブリュッセル風ワッフル	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/15/48/4815/rc234x174_1612081912_ff230bd35ad09335798fec24a089527f.jpg
1	カスタードプリン	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/90/48/4890/rc234x174_1701311605_a266b16973e6bea46d3fabf8bc20dc93.jpg
1	タピオカココナッツミルク	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/04/49/4904/rc234x174_1701311016_da1a82069cf97be23d7a385996258ab9.jpg
1	リコッタチーズたっぷりのカンノーロ	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/64/49/4964/rc234x174_1703071624_bad7f046db5532ec1998fe610f2e7247.jpg
0	パォン・デ・ロー（ポルトガル菓子 半熟カステラ）	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/64/50/5064/rc234x174_1705161814_fd4773f55bc81967ab355fba7db9bd71.jpg
1	アロス・コン・レチェ（お米のミルクデザート）	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/40/50/5040/rc234x174_1704281337_68ca5a144b935be8f694dba949613dcc.jpg
2	草餅	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/46/50/5046/rc234x174_1704210736_8fe1129f3d5965d081ec839aff3382a2.JPG
1	水まんじゅう	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/44/50/5044/rc234x174_1704210733_17aa50266a64969cb96ec19f3f191920.JPG
2	トロぺジエンヌ	デザート							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/97/50/5097/rc234x174_1707060957_9d1091d6fee14793d51a4d1de9699971.jpg
